REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
CRNCAR3tp,NaN,NaN
CRNCARtp,NaN,NaN
CRNt,NaN,NaN
CRNtHa,NaN,NaN
CRNtim,NaN,NaN
CRNtuNa,NaN,NaN
CRNtx,NaN,NaN
CRTNsyn,NaN,NaN
CRTSLt,NaN,NaN
CRTSLtm,NaN,NaN
CRTSLtr,NaN,NaN
CRTSTRNt,NaN,NaN
CRTSTRNtm,NaN,NaN
CRTSTRNtr,NaN,NaN
CRVNCtr,NaN,NaN
CSAPASEly,NaN,NaN
CSBPASEly,NaN,NaN
CSCPASEly,NaN,NaN
CSDPASEly,NaN,NaN
CSEPASEly,NaN,NaN
CSm,1.0532935516,NaN
CSNAT2m,0.0098528674,0.0098528674
CSNAT2x,0.0228225422,0.0228225422
CSNAT3x,0.0098528674,0.0098528674
CSNATer,0.0059117204,0.0059117204
CSNATm,0.0098528674,0.0098528674
CSNATp,0.0098528674,0.0098528674
CSNATr,0.0084734660,0.0084734660
CSNt,NaN,NaN
CSPG_At,NaN,NaN
CSPG_Atly,NaN,NaN
CSPG_Bt,NaN,NaN
CSPG_Btly,NaN,NaN
CSPG_Ct,NaN,NaN
CSPG_Ctly,NaN,NaN
CSPG_Dt,NaN,NaN
CSPG_Dtly,NaN,NaN
CSPG_Et,NaN,NaN
CSPG_Etly,NaN,NaN
CTPtn,NaN,NaN
CYANt,NaN,NaN
CYANtm,NaN,NaN
CYSALANaEx,NaN,NaN
CYSASNNaEx,NaN,NaN
CYSGLNNaEx,NaN,NaN
CYSGLTH,NaN,NaN
CYSGLUexR,NaN,NaN
CYSGLYexR,NaN,NaN
CYSLYSL,NaN,NaN
CYSO,0.0000754466,NaN
CYSSERNaEx,NaN,NaN
CYSt4,NaN,NaN
CYSTA,1.6440480339,115.5967254800
CYSTAm,0.4650738077,32.7003884091
CYStec,NaN,NaN
CYSTGLUex,NaN,NaN
CYSTHRNaEx,NaN,NaN
CYSTSERex,NaN,NaN
CYTD,0.0063935736,NaN
CYTDK1,NaN,NaN
CYTDK2m,NaN,NaN
CYTDn,0.0000032700,NaN
CYTDt,NaN,NaN
CYTDt4,NaN,NaN
CYTDtl,NaN,NaN
CYTDtm,NaN,NaN
CYTDtn,NaN,NaN
CYTK10,1.6720506998,1.3376273085
CYTK10n,1.6720506998,1.3376273085
CYTK11,0.8525803073,1.3066192024
CYTK11n,0.8525803073,1.3066192024
CYTK12,0.8525803073,1.3066192024
CYTK12n,0.8525803073,1.3066192024
CYTK13,0.8525803073,1.3066192024
CYTK13n,0.8525803073,1.3066192024
CYTK14,0.8525803073,1.3434220421
CYTK14n,0.8525803073,1.3434220421
CYTK1m,0.0014869509,0.0011895489
CYTK1n,1.6720506998,1.3376273085
CYTK2n,0.8525803073,1.3066192024
CYTK3,NaN,NaN
CYTK3n,0.8525803073,1.3238682406
CYTK4,NaN,NaN
CYTK4n,0.8525803073,1.3090943377
CYTK5,0.8525803073,1.3238682406
CYTK5n,1.6720506998,1.3376273085
CYTK6,1.6720506998,1.3376273085
CYTK6n,1.6720506998,1.3376273085
CYTK7,1.6720506998,1.3661611770
CYTK7n,1.6720506998,1.3661611770
CYTK8,1.6720506998,1.3376273085
CYTK8n,1.6720506998,1.3376273085
CYTK9,1.6720506998,1.3238682406
CYTK9n,1.6720506998,1.3238682406
D_3AIBt,NaN,NaN
D3AIBTm,0.0000009426,0.0000734099
DADA,0.0107369268,NaN
DADAe,0.0076053231,NaN
DADNK,NaN,NaN
DADNt4,NaN,NaN
