	c	e	g	l	m	n	r	x	i
1522	0	4.6	2.0	5.0	0	0	4.1	0	0
152586	0	1.4	3.8	0.3	0.8	0	3.0	0.4	0
152926	1.4	0	0	0	4.8	0.4	0	1.2	0
153201	0	0	0	0.9	0	0	0	0	0
1536	2.2	2.0	2.0	1.2	2.1	3.0	4.4	0	0
1537	0.8	0.2	0	0.3	5.0	0.7	0	0	0.7
153769	0.9	0	0	0	0	5.0	0	0	0
1540	5.0	1.0	0	1.3	0.9	3.2	0.3	0.4	0
154091	0	0	0.8	0.7	0.5	0	0	0.5	0
154141	0	0	0	0	2.0	0	4.0	0.8	0
154214	4.4	0	0	0	0.3	0.4	0.3	0.6	0
1543	2.3	1.7	0	0.8	4.4	2.7	4.5	1.4	0
1544	1.8	1.5	1.2	0	1.5	2.0	4.5	0.7	0
1545	1.5	1.9	0.2	0.5	4.4	2.1	4.4	0.8	0
1548	1.5	0	0	0	0.5	1.5	5.0	0	0
1549	0.7	0.6	1.8	0	0.7	1.2	5.0	0.6	0.9
1551	0	1.3	0	0	0.7	1.4	5.0	0.3	0.8
155184	0	0	0	0	0	0	0.4	0.2	0
1553	0.8	0.6	0.3	0	0.7	1.4	5.0	0.5	0.8
1555	2.2	1.3	0.8	1.2	2.5	2.1	5.0	1.8	0
1557	1.3	1.0	0	0	1.1	1.6	5.0	0.9	0
1558	1.2	0.7	1.2	0.2	0.7	1.4	5.0	0.3	0.6
1559	1.5	1.1	0	0	1.1	1.8	4.6	1.2	0
156	-1	-1	-1	-1	-1	-1	-1	-1	-1
1562	1.0	0.3	0.5	0	1.0	1.4	5.0	1.2	0.7
1565	2.7	1.5	1.6	0.2	4.4	1.5	4.5	0.2	0
157	-1	-1	-1	-1	-1	-1	-1	-1	-1
1571	2.2	1.6	2.0	1.2	4.5	2.0	4.6	1.8	0
1572	0	1.6	0	0	0.6	1.0	4.3	0	1.1
157285	-1	-1	-1	-1	-1	-1	-1	-1	-1
1573	0.6	0.9	1.0	0.2	1.4	1.1	5.0	1.0	0.7
157506	0.7	0	1.0	0	0	0.7	4.0	0	0
1576	1.9	1.8	0	0.7	1.4	2.3	4.5	1.2	0
1577	1.1	1.2	0	0	0.9	1.5	5.0	0.7	0.6
1579	0	0.4	1.9	0.2	0.5	0.9	5.0	2.2	0
158	4.7	0.2	0	0	1.6	1.5	0	0	0
1580	0	1.1	1.0	0	1.2	0.8	5.0	0.7	1.0
1581	1.2	2.5	1.0	0	1.2	2.0	5.0	2.0	0
158160	-1	-1	-1	-1	-1	-1	-1	-1	-1
1582	0	1.6	1.3	0.1	1.0	1.4	5.0	0.8	0
1583	2.0	1.5	0	0	4.8	1.5	1.3	0	0
1584	1.4	0.6	0	0	5.0	1.2	0	1.3	0
1585	1.9	1.1	0	0	5.0	1.3	0.8	0	0
158506	-1	-1	-1	-1	-1	-1	-1	-1	-1
158584	0	0.9	1.3	0	0	1.7	0.9	0.4	0
1586	0.9	1.7	0.4	0	1.8	1.8	4.5	0.6	0
1588	1.3	2.0	0	0.2	2.1	2.3	4.5	1.5	0
158833	1.0	2.2	2.1	0.3	1.0	0	4.2	1.9	0
158835	0	0	0	0	0	0.6	4.0	0	0
158880	0	0	0	0	0	0	0	0	0
1589	0	1.9	2.3	0	1.6	1.2	4.4	0	0
159	4.7	0.2	0	0	1.4	1.3	0	0	0
1591	2.4	0.7	0	0	5.0	4.3	0	0	0
1592	0	1.7	0.9	0.2	0	1.4	5.0	0	0
1593	2.1	1.5	0	0	4.7	1.4	0.9	1.8	0
1594	2.7	1.0	0	0	5.0	2.8	0	0.7	0
1595	1.0	1.2	0.3	0.3	1.7	1.2	4.7	0.4	0
159963	0	0	0	0	0	0	0	0	0
16	4.8	0	0	0	3.9	2.4	0	0	0
160287	3.2	0	0	0	1.5	0	0	0	0
1603	0	1.4	0	0	0.6	0.7	4.3	0	0
160428	2.3	0	0	0	4.8	4.0	0	0	0
1606	3.9	0	0	0	0	1.3	0	0	0
1607	4.6	0	0.6	0	1.1	1.4	0	0	0
160728	0	0	0	0	0	0.9	0	0	0
1608	0	0	1.0	0	0	0	0	0	0
160851	3.6	0	0	0	0	2.2	0	0.3	0
1609	5.0	0	0	0	0	5.0	0	0	0
1610	5.0	1.6	0	0.4	1.1	1.5	0.4	5.0	0
1612	3.3	0.8	0	0.8	1.0	3.5	0.9	0	0.5
161247	0	0	0	0	0	0	3.4	0	0
1613	2.3	0	0	0	0	4.5	0	0	0
1615	5.0	0	0	0	0	1.5	0	0	0
1621	0	5.0	1.1	0.6	1.1	1.9	4.1	0.7	0
1622	3.3	0	5.0	0	1.7	2.2	5.0	1.6	1.5
162333	2.7	0	0	0	0	1.9	0	0	0
162417	1.1	0.6	0	0.3	5.0	0.2	0	0	0
162466	4.2	2.7	0	0	1.6	0.6	0	0.3	0
1629	1.5	0.6	0	0	5.0	1.0	0	0	0
1632	1.0	0.7	0	0	5.0	1.5	0	1.9	0
1633	4.5	0.7	0	0	2.4	4.4	0	0	0
163404	-1	-1	-1	-1	-1	-1	-1	-1	-1
1635	4.6	1.1	0	0	0.7	2.0	0.2	0	0
1636	2.7	5.0	0.2	4.3	1.9	2.2	1.9	1.8	0
1638	4.3	1.9	0	1.0	0.6	2.2	0.3	0.7	0
1644	4.5	1.1	0	0	1.6	1.8	0	0.2	0
1645	5.0	0	0	0	0.3	2.0	0	0	0
1646	4.5	0	0	1.3	0.7	2.1	0	0	0
1650	0.2	0.6	0	4.0	0.2	0	4.6	0	0
165631	1.4	0	0	0	0	4.3	0	0.3	0
166012	0	1.8	4.1	0.4	1.9	0	0.4	0	0
1666	4.8	2.1	0.9	1.3	5.0	4.6	2.3	2.1	0.6
166614	2.7	0	0	0	0.6	1.3	0	0.3	0
166785	2.6	0	0	0.7	4.5	1.0	0	0	0
166929	0	0	5.0	0	0	0	3.0	1.9	0
167127	0	1.3	2.3	0	0	0	0.9	0.4	0
167153	-1	-1	-1	-1	-1	-1	-1	-1	-1
168391	1.4	0	4.4	0	2.1	0	0.7	0	0
168433	0.2	1.5	0.6	0.3	0.3	0	3.4	0.4	0
169355	4.0	0	0	0	0	0	0	0	0
170384	0	1.9	4.1	0	0	1.6	1.2	0	0
170685	4.0	0	0	0	0	4.2	0	0	0
170712	0	0	0	0	3.8	0	0	0	0
171425	2.1	0	0	0	3.9	0	0	2.0	0
1716	3.1	0	0	0	5.0	1.0	0	0	0
1717	4.3	0.7	0	0	0	5.0	5.0	0	0
1718	2.3	0	5.0	0	0	5.0	5.0	0.4	0
1719	4.5	0.7	0	0.5	4.5	2.5	1.1	0.4	0.8
1723	4.4	0.8	0	0.3	4.7	4.4	0.9	0.8	0
1727	4.2	4.4	0	4.0	5.0	0	5.0	0.3	0
1728	4.8	1.3	0	0.9	2.6	2.7	1.0	0	0
1733	1.3	1.1	0.4	0	1.0	0.9	3.5	0.5	0
1734	0.7	1.9	0	0	1.5	1.5	2.2	0.3	0
1735	0	0	0	0	0	1.4	0	0	0
1737	0.5	0	0	0	5.0	0.5	0	0	0
1738	1.1	0	0	0	5.0	5.0	0	0	0.5
1743	2.8	0	0	0	5.0	5.0	0	0	0
175	1.4	5.0	0	5.0	1.5	2.7	5.0	0.3	0
1757	1.4	0	0	0	4.8	0.6	0	1.3	0
1760	4.8	0.2	0	0	5.0	4.3	4.2	0.8	0
178	4.4	4.2	0	0	0	3.2	2.4	0	0
1786	1.7	1.3	0	0	2.3	4.9	0.6	0	0
1787	1.0	0	0	0	0	4.7	0	0	0
1788	1.7	1.0	0.5	0	1.3	5.0	0	0.7	0
1789	1.5	0.8	0	0	0.6	5.0	0	0	0
1798	0.6	0	1.7	1.2	1.0	0	4.5	0	0
18	0.5	0	0	0	5.0	0.4	0	0	0
1800	0.6	4.3	0	0	0.3	4.1	0	0.5	0
1806	5.0	0	0	0	0.8	2.0	0	0.4	0
1807	4.5	0	0	0	0	1.4	0	0.3	0
1808	5.0	0	0	0	0.8	2.7	0	0	0
1809	4.7	4.0	0	0	0	2.0	0	0	0
1811	0	1.1	0	0	1.1	0.7	0.7	0	0
183	4.3	5.0	0	1.2	1.6	2.2	1.5	0	0
1836	0	1.1	0	0	0	0	0	1.8	0
1841	4.0	0	0	0	4.3	3.7	0	0	2.0
1843	3.4	1.8	0.2	0	1.4	5.0	0.6	0	0
1844	2.6	0.9	0	0	0	5.0	0	0	0
1845	5.0	0	0	0	0	5.0	0	0	0
1846	3.1	0.9	0	0	0.8	5.0	0	0	0
1847	2.2	1.0	0.2	0	0.7	4.5	0	0.6	0
1848	4.4	1.0	0	0	0	4.7	0	0	0
1849	5.0	0	0	0	0	4.5	0	0	0
1850	4.4	0	0	0	0.6	4.0	0	0	0
1852	4.2	0	0	0	0.7	4.4	0	0	0
1854	0.8	0	0	0	4.6	4.8	0	1.3	0
1859	3.3	0.5	0	0	0	5.0	0	0	0
189	4.5	0	0	0	3.4	1.3	0	5.0	0
1890	4.0	1.4	1.7	0	2.6	2.2	0.3	0.5	0
1891	4.1	0	0	0	4.2	0	0	5.0	0
1892	1.5	0	0	0	5.0	0	0	1.4	0
19	1.3	3.1	2.3	1.6	1.1	2.9	4.3	1.6	0
191	4.8	0.9	0	0	1.4	2.8	0	0	0
192111	0.7	0	0	0	4.4	0	0	0	0
192134	0	1.7	4.6	0.5	0	0	3.1	0.2	0
192286	0.8	0.4	0	0	3.6	0	0	0.4	0
1956	3.7	5.0	3.6	2.5	1.8	5.0	3.7	0.9	0
195814	0	2.0	0.3	0	0	4.0	5.0	0	0
196051	-1	-1	-1	-1	-1	-1	-1	-1	-1
1962	4.1	0	0	0	2.5	1.5	0	5.0	0
196743	4.3	1.6	0	0	1.5	0	0.6	4.4	0
196883	1.0	0.6	0	0	0.6	0.7	0	0	0
1969	0.9	1.5	0	0	0.5	1.3	0.4	0.5	0
197131	3.5	0	0	0	0	2.5	0	0	0
197257	1.2	0.3	0	0	4.5	0.5	0	0	0
197258	4.2	0	0	0	1.0	1.0	0	0	0
197259	4.7	1.0	0	0.7	1.9	3.3	0.9	0	0
197322	1.0	0.3	0	0	5.0	0	0	0	0
199857	0.8	0.2	0	0	0	3.6	4.3	0	0
199974	0	1.2	0.7	0	0.6	0	3.6	0.8	1.1
200010	0	0	0	0	0	0	0	0	0
200576	3.9	0.6	4.2	2.1	0	2.3	0	0	0
200810	1.2	1.0	0	0	0	1.3	3.0	0	0
200931	0	0	0	0	0	0	4.2	0	0
2011	2.8	1.2	0.3	0	4.0	4.6	0	0	0
201164	0.7	2.2	1.1	0	5.0	0	0	0.4	0.7
201288	-1	-1	-1	-1	-1	-1	-1	-1	-1
201562	-1	-1	-1	-1	-1	-1	-1	-1	-1
201595	0	0	0	0	0	0	4.6	0.6	0
2023	4.8	1.6	0	0	1.6	5.0	0.8	0	0
202374	2.8	0	0	0	0.3	0.8	0	0	0
2026	4.7	1.8	0.5	1.1	1.7	2.8	1.1	0	0
2027	4.8	0	0	0	1.2	0.7	0	0	0
203	4.8	0.5	0	0	2.0	1.7	0	0	0.6
2030	2.6	1.8	0	0.9	0.8	2.2	0	0	0
2033	4.5	1.7	0	0	1.0	5.0	0.7	0.5	0
203611	-1	-1	-1	-1	-1	-1	-1	-1	-1
204	3.0	0.6	0	0	4.5	1.2	0.6	0	4.4
2041	0	1.8	0.3	0	0	1.0	0.5	0.4	0
2042	1.5	3.5	1.4	0	0	1.9	0	0	0
204219	2.2	0.6	0.2	0	0.4	3.6	4.0	0.4	0
2043	0	1.1	2.0	0	2.0	0.8	2.4	0.5	0
2044	0.4	0.8	0	0	0.9	1.3	5.0	0	0
2045	0	0.7	0	0	0	0	0	0	0
2046	0.3	1.6	0	0.3	0	0	0	0.5	0
2047	4.0	4.2	0	0	0	0	4.0	0	0
2048	4.1	4.4	0	0	0.8	4.3	0.4	0	0
204851	4.5	0	0	0	0.6	5.0	0	0	0
2049	4.0	4.4	0.2	0.5	0	0.5	0	0.2	0
205	1.8	0	0	0	4.7	0.7	0	0	1.3
2050	4.1	4.4	0	0.3	0	0	0	0.4	0
2051	4.0	4.4	0	0	0	0	0.5	0	0
2052	1.4	1.2	0.5	0.4	0.7	1.5	4.4	1.1	0
2053	5.0	0.7	0	0.4	1.0	1.3	1.9	5.0	0
2058	5.0	1.7	0.6	0.8	1.8	1.7	0.7	0.6	0
206358	0	0	0	1.3	0	0	4.0	0	0
2064	4.6	3.2	0	2.0	2.0	5.0	1.4	0.6	0
2065	1.1	5.0	0	1.0	0	1.8	0.9	0.4	0
2066	4.2	4.5	0	0.9	5.0	5.0	0.5	0.4	0
207	5.0	3.1	1.2	2.2	3.9	5.0	2.5	1.4	0
2070	1.4	0	0	0	0	3.7	0	0	0
208	4.7	1.3	0	0	1.4	5.0	0.6	1.1	0
2081	1.3	1.4	0.2	0.7	2.7	2.7	5.0	0.5	0
2098	4.5	0.4	1.6	0	0	2.4	4.0	0	0
21	1.6	0	0.8	0.9	0	1.6	0.9	0	0
210	4.1	4.0	0	0	1.9	0.9	0	0.5	0
2108	0.7	0.6	1.3	1.5	4.9	0.6	1.1	0	0
2109	0.8	0	0	0	5.0	0.3	0	0	0
211	4.4	0	0	0	5.0	4.5	0	0	0
2110	1.5	0	0	0	5.0	0	0.4	0	0
212	1.8	1.9	0	0	5.0	0.7	0.5	0	0
213	4.0	5.0	4.4	2.6	2.7	2.7	4.4	1.7	0
2131	0	2.1	4.5	0.3	0	0.5	4.3	0	0
2132	0.2	0.9	4.3	0	2.1	0.2	4.1	0	0
2134	0	0.8	1.2	0.9	0	0	4.1	0	0
2135	0	5.0	0.3	1.3	0	0	4.1	0	0
2137	1.3	0.8	5.0	0.4	0.4	0.7	4.1	0.3	0
2138	0.6	0	0.4	0	0.6	5.0	0	0.8	0
2139	4.4	0.9	0	0.3	2.0	4.4	0	0	0
2140	1.5	0	0	0	0	5.0	0	0	0
2145	1.6	0	0	0	0	5.0	0	0	0
2146	3.0	1.1	0	0	0	5.0	0	0	0
2147	2.8	5.0	4.1	1.7	1.8	2.1	4.2	0.4	0
215	4.3	0	0.6	5.0	5.0	1.5	5.0	5.0	0
216	4.6	1.3	0	0	1.7	1.8	0	0	0
2162	2.8	4.3	0	0	0.5	2.7	0	0	0
2165	0.1	4.7	0	0	0	0	0	0.1	0
2166	0.9	2.4	0.2	1.0	1.0	1.2	4.1	1.2	0
2167	4.8	1.8	0	0	1.4	4.4	1.2	2.2	0
2168	4.7	1.6	0	0	1.3	4.4	0.9	4.5	0
2169	4.8	1.7	0	0	0.8	2.3	0	1.3	0
217	2.9	0.7	0	0	5.0	0.9	0.5	0	0
2170	4.7	4.2	1.9	0	1.9	1.1	0	1.3	0
2171	4.8	4.5	0	4.0	1.0	5.0	0.5	1.6	0
2172	4.6	0.5	0	0	1.4	1.7	0.7	1.0	0
2173	4.8	0.6	0	0	0.8	3.9	0	0.6	0
218	4.8	0	0	0	2.1	2.7	4.0	1.0	0
2180	2.5	0.9	0	0	5.0	2.5	4.2	4.3	0
2181	0.7	0.7	5.0	0.3	3.5	0	5.0	4.0	0
2182	0.8	0.7	2.5	0	4.0	0.5	4.4	3.6	0
2184	4.4	0	0	0	1.5	1.1	0.6	0.5	0
2185	4.7	1.7	0	0	0.9	5.0	0.8	0	0
219	2.6	0	0	0	5.0	4.4	0	1.2	0
2193	4.3	0	0	0	1.1	2.4	0.7	0	0
219333	1.7	0	0	0.8	0.3	4.3	0	0.5	0
2194	4.8	1.4	4.3	0	1.5	1.4	0.9	1.2	0
220	4.6	0	0	0	1.0	4.6	0	0	0
220074	0.6	0.3	0	0	0.8	0.3	3.0	0.5	0
2203	4.5	0	0	0.7	0.7	3.8	0	0	0
220441	1.1	0.4	0.6	5.0	0	0.6	0	0	0
220972	2.0	0	0	5.0	0	0	0	0	0
221	2.4	0	0	0	0.9	0	0	0	0
221223	1.3	3.3	0	0.7	0.6	0	2.6	1.2	0
221357	4.7	0	0	0	0.9	0	0.7	0	0
221443	1.7	0.8	0	0	0	5.0	0	0	0
221687	0.2	0	0	0	0	2.6	0	0.2	0
221823	2.7	0	0	0	0	0	0	0	0
221955	0	0	0	0	0	4.0	0	0	0
222	0	1.3	0	0	0	0	0.5	0	0
2222	2.4	1.5	0	0	1.1	2.0	5.0	1.1	0
2224	4.5	2.3	0	0	3.1	4.4	0.4	2.5	0
222537	0	1.8	4.4	0	0.4	0	1.1	0.4	0
222962	0	2.4	0	0.6	0	0	0	1.4	0
223	4.7	0	0	0	3.5	0	0	0	0
223082	4.1	1.4	0	3.0	1.0	0.8	0	0.4	0
2232	1.2	0	0	0	4.9	1.6	0.6	0	0
2235	1.7	0.7	0	0	5.0	1.2	0	0	0
224	2.6	0.1	0	0	2.0	0.8	4.2	5.0	0
2241	4.7	0	0	0	0	5.0	0	0	0
2242	5.0	0.7	5.0	0	1.9	3.0	0	0	0
2243	0	5.0	0.2	0.4	0	0.7	4.1	0	0
225	4.0	0	0	0	0.8	0	0	5.0	0
225689	0.4	5.0	5.0	0	1.5	5.0	0	0	0
226	4.8	4.0	0	0.7	1.2	1.0	0	0	0
2260	5.0	5.0	0	0.6	0.8	5.0	1.0	0	0
2261	0	5.0	5.0	0.4	0	3.0	5.0	0.4	0
2263	0.8	5.0	5.0	0.6	0	5.0	1.4	0.4	0
2264	2.4	5.0	5.0	0.8	0	3.3	5.0	0	0
2268	4.6	4.2	0	0	3.3	1.6	0	0	3.0
2271	5.0	0	0	0	5.0	5.0	0	0	0
2272	5.0	0	0	0	5.0	5.0	0	0	0
2274	3.2	1.3	0	0	0	4.8	0	0	0
2280	4.6	1.5	0	0	0.2	2.1	4.5	0	0
2281	4.0	0	0	0	0	0	4.0	0	0
22820	4.5	0	4.2	0	0	1.4	4.0	0.3	0
22843	2.0	0	0	0	2.0	4.7	0	0	0
22848	4.7	0	0	0	1.5	3.8	0	0	0
22853	2.9	1.2	5.0	0	0	2.0	0.5	0	0
22856	0	5.0	4.2	0	0	0.6	1.4	0	0
22858	3.8	0.8	0	0	0.7	5.0	0	0	0
2286	1.3	1.2	0.9	0	1.3	0.7	4.5	0.6	0
2287	3.6	0	0	0	1.1	5.0	0	0	0
22876	2.6	0	0	0	0	1.5	0	0	0
2288	4.9	0	0	0	3.3	4.8	0	1.1	0
2289	4.6	0.6	0	0	0.6	5.0	0	0	0
229	4.2	0	0	0.8	0.9	2.7	0	0.4	0
22908	1.9	0	4.4	0	0	0	4.4	0	0
22928	4.3	0	0	0	0.3	2.4	0	1.0	0
22929	2.8	0	0	0	0	5.0	0	0	0
22933	5.0	0.9	0	0	3.5	5.0	0.9	0.7	0
22934	4.4	1.0	0	0	0.8	2.5	0.7	0	0
22949	2.3	0	0	0	0.6	1.2	0	0	0
22954	4.3	0	0	0	0	4.3	0	0	0
22977	4.4	0	0	0	2.0	1.9	0	0	0
22978	4.6	0	0	0	1.6	1.5	0	0.4	0
22983	2.7	0	0	0	0.7	1.0	0.4	0.4	0
230	4.4	4.0	0	0.8	1.1	2.3	0	0	0
23007	3.8	0	0	0	0	1.9	0	0	0
23012	4.5	0	0	0	0	2.2	0	0	0
23031	2.8	0.5	0	0	0.4	2.8	0	0	0
23032	4.2	0.8	5.0	0.7	0	4.3	0.8	0	0
23035	4.3	0	0	0	0.6	5.0	0	0	0
23039	1.8	0	0	0	0	5.0	0	0	0
23043	4.6	0.8	0	0	0	5.0	0	0.2	0
23049	4.2	0	0	0	0.5	5.0	0	0	0
23054	4.3	0	0	0	0	5.0	0	0	0
23057	1.8	0.3	5.0	0	1.3	1.4	0	0.3	0
23067	4.6	0	0	0	0	5.0	0	0	0
23070	4.5	0	0	0	0.4	5.0	0	0	0
23072	4.4	0	0	0	0	0	0	0	0
23077	3.7	1.1	0	0	0	5.0	0	0	0
23097	3.1	0	0	0	0	4.1	0	0	0
231	4.8	4.4	0	2.0	1.8	4.6	0.9	0.5	0
23127	0	0.3	0	0	1.7	1.7	4.6	0.5	0
23139	3.5	0	0	0	0	1.5	0	0.3	0
23169	0	0	3.4	0	0	0	4.2	1.4	0
23175	3.8	1.4	0	0	3.6	4.7	4.3	1.3	0
23178	4.7	0	1.4	0	0	5.0	0	0.6	0
23179	4.5	0	1.6	0	0	3.0	0	0	0
23203	1.5	0	0	0	5.0	0.9	0	0	0
23205	4.4	0.9	0	0	1.2	1.9	3.0	1.1	0
2321	1.4	5.0	0	0.5	1.0	1.8	2.0	0	0
23214	4.5	0	0.2	0	0.2	4.6	0.3	0.4	0
2322	2.9	2.7	0	0	1.1	3.1	5.0	0.2	0
23228	2.4	0	0	0	0	0	0	0	0
23235	2.7	0	1.5	0	0.8	3.8	0	0	0
23236	4.7	0	0	0	0	4.6	1.1	0	0
23239	4.4	0.6	0	0	0.2	5.0	0	0.2	0
2324	0	5.0	0	0	0	4.5	0.3	0	0
23250	1.6	1.3	3.6	1.5	1.9	0.9	5.0	0	0
2326	1.2	0.2	0	0	0.6	0	4.0	2.2	0
23262	5.0	0	0	0	0	1.8	0	0	0
2327	2.1	0.8	0.3	0.3	0.8	0	4.0	1.0	0
2328	3.2	0	0	0	0.7	2.0	4.0	0.8	0
2329	1.4	0	0	0	0.7	0	3.0	1.8	0
23295	5.0	0	0	1.1	0.8	5.0	0.6	0	0
2330	4.4	0	0	0	0.9	0	5.0	1.1	0
23304	4.1	0	0	0.6	0	4.5	0	0	0
23305	0.6	0	0	0	3.3	0.5	4.3	3.7	0
23309	1.6	0	0	0	0	4.8	0	0	0
23315	0	0	4.1	0	0	0	0	0	0
23318	-1	-1	-1	-1	-1	-1	-1	-1	-1
23326	1.5	0	0	0	0	5.0	0	0	0
23327	4.6	0.9	3.4	1.8	0.5	4.5	1.1	0	0
23352	4.3	0	0	1.2	0	5.0	0	0	0
23358	2.0	0.4	0	0	1.0	4.5	0.3	0.7	0
23363	4.2	0	5.0	0	0.8	2.0	0	0	0
23371	-1	-1	-1	-1	-1	-1	-1	-1	-1
23382	4.4	0.9	0	0	0.3	2.0	3.0	0.6	0
23387	2.7	0	0	0	0.5	3.3	0.2	0.5	0
2339	4.3	1.3	0	0	0	1.4	0	0.4	0
23395	2.7	0.3	0	0	4.6	2.2	0	0	0
23396	4.6	0	0	0	0	5.0	0	0	0
23398	2.3	0	0	0	0	5.0	0	0	0
23408	5.0	1.0	0	0	5.0	5.0	0.5	1.0	5.0
23410	2.0	1.3	0	0.7	5.0	4.4	0.9	1.1	0
23411	4.7	1.9	0	1.2	4.8	5.0	1.7	1.9	0
23417	4.3	0	0	0	5.0	0	0	5.0	0
2342	4.0	0	0	0	0	0	0	0	0
23428	0	0	0	0	0	0	0.4	0	0
23430	0	3.8	0	1.3	0	0	0.6	0.2	0
23438	4.0	0	0	0	4.7	1.1	0	0	0
23439	1.3	0	0	0	1.0	5.0	1.4	0	0
23443	0.5	0	4.5	0.3	0	0	0.6	0	0
23463	1.0	0.9	0.3	0.8	0	0.6	5.0	0	0
23464	1.1	0.7	0	0	4.8	4.5	0	0	0
23475	4.1	1.3	0	0	1.5	0.4	0	1.0	0
23478	1.7	0	0.4	0	0.4	0.3	4.3	0.3	0
2348	0	3.1	4.0	0	0.6	4.2	4.0	0	0
23483	1.1	0.2	0	0	1.4	1.4	0	0.2	0
23491	4.3	3.9	0	1.2	0	0	4.0	0.9	0
23498	5.0	0	0	0	0.3	1.3	0	0	0
2350	0	4.7	0	0	0	0.7	0	0	0
2352	0	5.0	0	0	0	0	0	0	0
23522	1.7	0	0	0	1.1	5.0	0	0	0
23529	0	4.4	0.3	0	1.0	0.3	0	0	0
23530	0.9	0	0.3	0	5.0	0	0.4	0.3	0
23533	4.3	0	0	0	0	3.9	0	0	0
23539	0	0	0	0	0	0	0	0	0
23545	2.3	0.9	1.3	1.2	0	0	0.9	0	0
23552	1.7	0	0	0	0.5	4.3	0.6	0	0
23556	4.4	0	1.0	0	0	0	3.5	0	0
2356	4.4	0	0	0.2	4.6	0	0	0	0
23563	0	0.7	5.0	0.4	0.8	0.5	0.5	0	0
23564	4.4	1.7	0	0	3.0	1.9	0	0.7	0
23569	4.4	2.8	0	0	0.7	5.0	0	0	0
23576	4.6	1.3	0	0	0.3	2.8	0	0	0
23600	4.5	1.1	0	0	5.0	1.7	0.8	5.0	0
23604	2.6	0	4.0	0.8	0.6	3.6	0	0	0
23608	4.6	0	0	0	0	3.4	0	0	0
23609	2.9	0	0	0	0	3.6	0	0	0
23617	2.7	0.2	0	0	0	1.4	0	0.2	0
23624	1.5	0	0	1.0	0	2.9	0	0	0
23632	2.2	1.2	0	0.5	1.7	0.5	0	0	0
23633	4.4	0	0	0	0	4.3	0	0	0
23646	1.5	0	0	1.0	0	1.5	3.1	0	0
23649	4.4	0	0	0	0	5.0	0	0	0
23657	0.8	1.8	0	0	1.4	1.3	2.6	0	0
23659	0.5	5.0	0.4	4.4	0	4.3	1.0	0	0
23678	4.6	0	0	0	0	2.0	0	0	0
23683	4.7	0	0	0	1.3	4.5	0.7	0	0
23729	4.2	0.6	0	0.8	0.9	0.6	0	0.6	0
23743	4.6	0	0	0	0	1.7	0	0	0
23759	1.7	0	4.2	0	0	5.0	0	0	0
23761	2.5	0.2	1.7	0	3.6	4.4	0.8	0.6	0.8
23770	4.6	0	0	0	4.6	1.2	4.5	0.7	0
238	1.2	2.4	0	0.6	0.8	2.0	1.3	0	0
239	5.0	1.2	0	0	2.9	2.3	0	0	0
24	0	0.6	0	1.1	0.6	0	0	0	0
240	5.0	4.3	0	0	1.3	5.0	0	0.4	0
242	4.7	0	0	0	0	1.2	0	0.4	0
2444	4.5	4.2	0.2	4.0	0.3	4.4	0	0.2	0
245972	2.3	0	0	3.5	0.3	2.3	0	0	0
245973	4.4	0	1.3	0	0	1.7	0	0	0
246	5.0	1.5	0	0	1.8	1.6	0	1.2	0
246213	0	0	0	0	0	1.1	0	0.5	0
247	5.0	1.2	0	0	0	5.0	0	0.8	0
248	1.1	4.5	0.8	1.5	1.1	0.5	1.1	0	0
249	3.1	4.5	1.0	1.3	0.8	1.0	1.0	1.5	0
25	5.0	1.2	0	0.7	4.3	5.0	0	0	0
250	1.1	2.1	0.7	1.2	1.1	0.6	1.6	0.5	0
251	-1	-1	-1	-1	-1	-1	-1	-1	-1
2517	0	4.3	0	5.0	0.5	0	0	0.2	0
2519	0	5.0	0	4.7	1.6	1.9	4.2	0.4	0
2523	0	1.6	5.0	0.5	0	0	0.2	0.2	0
2524	0.8	2.4	5.0	0	0	1.3	1.3	0.6	0
2525	0	2.4	5.0	2.0	0	1.3	0.7	0	0
2526	1.6	1.8	5.0	1.2	1.1	2.1	0.5	0	0
2527	0	2.3	5.0	0.4	0	0	0	0	0
2528	0	2.4	5.0	0	0	0	0	0.3	0
2529	0	2.2	5.0	0.5	0	0	0	0	0
2530	4.5	1.5	5.0	0	0	0	1.2	0.5	0
253017	1.2	0	0	0	2.2	0.5	5.0	0.4	0
2531	0	4.2	0	0.3	0.7	0	5.0	0	0
253175	-1	-1	-1	-1	-1	-1	-1	-1	-1
2534	4.7	1.7	0.7	0.9	3.3	5.0	3.4	0	0
253430	0.8	0	0	0	0	4.5	0	0.2	0
253558	4.0	0	0.2	0	1.6	0	4.2	0.4	0
253782	2.2	0	0	0	1.0	3.0	4.2	0	0
2538	2.0	1.2	1.3	1.3	1.8	1.9	5.0	1.6	0
2539	4.8	1.1	0.3	0.8	2.5	3.4	0.8	1.3	0
254173	4.2	0	0	0	0.8	1.7	0.4	0.4	0
2542	0	0	0	0	0	0	5.0	0	0
254428	1.1	0.6	0	0	0.8	0	0	0.7	0
254531	1.4	0	0	0	0	0	5.0	0	0
2548	0	0.9	1.4	4.8	1.0	0.7	0.7	0	0
255189	3.6	0.8	0	3.1	0.8	0.6	0	0	0
255488	4.0	0	0	0	5.0	2.2	0	0	0
